TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
grid4	9492	1	1	0.181168	0.452995	0.851677	0.388462	1.052139	0.334352	1.118324	0.614608	0.054841	0.000000	0.000000	0.226757
sym1	9492	2	1	0.251861	0.270745	0.277347	0.118324	0.409391	0.174162	0.462914	0.510602	0.052055	0.000000	0.000000	0.226757
sym2	9492	2	1	0.156914	0.385795	0.416458	0.156580	0.480625	0.171595	0.489622	0.332411	0.058048	0.000000	0.000000	0.226757
sym3	9492	2	1	0.096382	0.298462	0.128350	0.071596	0.427671	0.090529	0.433656	0.162930	0.035200	0.000000	0.000000	0.226757
sym4	9492	2	1	0.128640	0.173592	0.165031	0.090797	0.175200	0.122750	0.249962	0.219841	0.056189	0.000000	0.000000	0.226757
resting	9492	2	1	0.334061	0.909432	3.109531	0.426394	1.861420	0.274466	3.812395	1.617121	0.133055	5.000000	0.000000	0.811908
grid1	9492	2	1	0.104149	0.162697	0.424271	0.146748	0.233921	0.386168	0.332314	0.306530	0.062238	0.000000	0.000000	0.226757
grid2	9492	2	1	0.158966	0.261208	0.407440	0.299036	0.989063	0.292030	1.042128	0.262858	0.058372	0.000000	0.000000	0.226757
grid3	9492	2	1	0.092682	0.220962	0.388855	0.128836	0.721741	0.229105	0.720822	0.281653	0.068244	0.000000	0.000000	0.226757
grid4	9492	2	1	0.112839	0.179146	0.295334	0.208542	0.506582	0.272078	0.487576	0.217951	0.062326	0.000000	0.000000	0.226757
sym1	9496	1	1	0.838745	1.292045	2.408134	0.658474	1.975990	1.258700	2.192978	2.006917	0.130629	1.000000	0.000000	0.453515
sym2	9496	1	1	0.638641	0.527230	2.163762	0.465095	0.968704	0.874451	1.941463	0.660240	0.108737	0.000000	0.000000	0.226757
sym3	9496	1	1	1.490776	2.452225	2.990376	1.469963	6.516516	1.855436	6.807953	2.073582	0.201703	5.000000	0.000000	1.360544
sym3_redo	9496	1	1	0.654969	1.129387	1.988003	0.740650	2.218134	0.908966	1.815637	1.463897	0.129900	0.000000	0.000000	0.226757
sym4	9496	1	1	1.836304	3.608933	4.850754	1.574693	6.685126	3.340294	8.543632	2.840069	0.201118	8.000000	0.000000	2.040816
sym4_redo	9496	1	1	0.656617	2.228630	3.181907	1.079556	3.949478	1.144617	4.965050	2.310315	0.216686	6.000000	0.000000	1.587302
resting	9496	1	1	0.198204	0.686493	1.517048	0.517317	0.889556	0.340006	1.051693	1.255031	0.072877	0.000000	0.000000	0.135318
grid1	9496	1	1	1.674675	4.755058	3.805336	1.560610	9.571996	3.259695	11.680508	2.736701	0.204943	6.000000	0.000000	1.587302
grid2	9496	1	1	0.438492	1.321869	3.273735	0.476883	2.685665	0.720237	3.605741	1.854840	0.113710	2.000000	0.000000	0.680272
sym1	9002	2	1	0.183220	1.204994	2.712353	0.475200	1.763653	0.764263	3.076971	1.424716	0.077058	0.000000	0.000000	0.226757
sym2	9002	2	1	0.044808	0.212692	0.418087	0.255582	0.550720	0.203700	0.516440	0.227045	0.045098	0.000000	0.000000	0.226757
sym3	9002	2	1	0.112793	0.304496	0.555721	0.176389	0.638872	0.332581	0.617532	0.325954	0.052861	0.000000	0.000000	0.226757
sym4	9002	2	1	0.153839	0.465027	0.629753	0.662293	1.082493	0.451818	1.184979	0.582745	0.056034	0.000000	0.000000	0.226757
resting	9002	2	1	0.183303	0.134987	0.244976	0.171629	0.439369	0.537901	0.641258	0.205350	0.052939	0.000000	0.000000	0.135318
grid1	9002	2	1	0.364800	0.793831	3.697147	0.718308	1.469902	1.302567	3.724627	1.566620	0.155537	1.000000	0.000000	0.453515
grid2	9002	2	1	0.828911	2.610481	4.356472	1.432739	4.437233	2.504837	6.763893	2.087599	0.259953	11.000000	0.000000	2.721088
grid3	9002	2	1	1.344025	2.026169	6.124024	1.450783	5.301006	5.566411	7.588027	2.677449	0.170059	7.000000	0.000000	1.814059
sym1	9051	2	1	0.078071	0.202667	0.577495	0.072784	0.264114	0.220156	0.606292	0.142310	0.052665	0.000000	0.000000	0.226757
sym3	9051	2	1	0.066903	0.117454	0.454251	0.109993	0.271687	0.227545	0.481883	0.185808	0.054806	0.000000	0.000000	0.226757
sym4	9051	2	1	0.076256	0.265823	0.383041	0.107017	0.882210	0.419699	0.926867	0.680087	0.043980	0.000000	0.000000	0.226757
resting	9051	2	1	0.106194	0.558487	1.016438	0.175921	1.599382	0.368088	2.024383	0.317647	0.061775	0.000000	0.000000	0.135318
grid1	9051	2	1	0.038780	0.076591	0.196812	0.073889	0.287847	0.162619	0.279606	0.150643	0.038503	0.000000	0.000000	0.226757
grid2	9051	2	1	0.041145	0.075226	0.104523	0.094908	0.190388	0.121261	0.225300	0.094757	0.039513	0.000000	0.000000	0.226757
grid3	9051	2	1	0.043328	0.447533	0.239785	0.207964	0.465469	0.219305	0.573643	0.351243	0.043863	0.000000	0.000000	0.226757
sym1	9051	1	1	0.099579	0.347488	0.386986	0.116922	0.812664	0.202305	0.657221	0.349220	0.045281	0.000000	0.000000	0.226757
sym2	9051	1	1	1.107811	7.167061	2.908295	2.029549	8.027029	2.061209	10.648969	8.775450	0.169154	11.000000	6.000000	2.721088
sym3	9051	1	1	0.068748	0.127250	0.169998	0.098999	0.221251	0.144447	0.214203	0.120403	0.044279	0.000000	0.000000	0.226757
sym4	9051	1	1	0.079765	0.155823	0.165650	0.111395	0.296238	0.105141	0.276092	0.104209	0.043105	0.000000	0.000000	0.226757
resting	9051	1	1	0.107635	0.562157	0.887398	0.181592	1.577553	0.233694	1.953570	1.100079	0.055667	0.000000	0.000000	0.135318
grid1	9051	1	1	0.159927	0.270127	2.058472	0.141678	0.985962	0.544061	2.222711	1.361971	0.059887	0.000000	0.000000	0.226757
grid2	9051	1	1	0.147484	1.801278	5.515705	0.491253	4.248901	0.520435	5.904144	4.433733	0.090947	5.000000	0.000000	1.360544
sym1	9085	1	1	0.262321	0.406525	1.648648	0.278057	1.558310	0.285862	2.017938	0.862695	0.088237	0.000000	0.000000	0.226757
sym2	9085	1	1	0.059494	0.114326	0.325321	0.090597	0.205701	0.164248	0.292163	0.135631	0.041702	0.000000	0.000000	0.226757
resting	9085	1	1	0.110260	0.461495	0.430710	0.223217	1.083296	0.199020	1.346949	0.149951	0.048658	0.000000	0.000000	0.135318
sym1	9085	2	1	0.089241	0.100014	0.329029	0.089407	0.184557	0.120566	0.293559	0.149546	0.047347	0.000000	0.000000	0.226757
sym2	9085	2	1	0.063507	0.095039	0.475322	0.155131	0.275312	0.202450	0.333560	0.241554	0.050699	0.000000	0.000000	0.226757
sym4	9085	2	1	0.094871	0.095856	0.265651	0.096735	0.190620	0.109686	0.215933	0.174898	0.040810	0.000000	0.000000	0.226757
resting	9085	2	1	0.087135	0.125793	0.650276	0.195433	0.396249	0.094524	0.746081	0.135498	0.035864	0.000000	0.000000	0.135318
grid1	9085	2	1	0.085137	0.118866	0.157787	0.200376	0.116781	0.149559	0.233041	0.142685	0.038628	0.000000	0.000000	0.226757
grid2	9085	2	1	0.140808	0.252297	0.475701	0.643068	0.832083	0.277407	1.028668	0.772762	0.046998	0.000000	0.000000	0.226757
grid3	9085	2	1	0.040589	0.115288	0.100132	0.072256	0.167269	0.120644	0.183107	0.115732	0.044085	0.000000	0.000000	0.226757
sym1	9116	1	1	0.158981	0.285729	1.532292	0.318788	0.895418	0.340136	1.532604	0.602350	0.092952	0.000000	0.000000	0.226757
sym2	9116	1	1	0.250473	0.476243	1.820954	0.683481	3.864766	0.350933	3.807987	1.230429	0.112873	0.000000	0.000000	0.226757
sym3	9116	1	1	0.323395	0.371453	1.310833	0.959236	0.755806	0.467552	1.539446	0.606828	0.134955	0.000000	0.000000	0.226757
sym4	9116	1	1	0.264717	0.211373	0.910641	1.028002	2.278963	0.634457	2.626722	0.821736	0.175267	0.000000	0.000000	0.226757
resting	9116	1	1	0.207375	0.407806	1.301799	0.521283	0.678860	0.525353	0.955060	0.469825	0.067417	0.000000	0.000000	0.135318
grid1	9116	1	1	0.095085	0.194428	0.427483	0.281223	0.595976	0.206562	0.527776	0.246152	0.066623	0.000000	0.000000	0.226757
grid2	9116	1	1	0.249687	0.495674	2.375541	0.733873	1.706686	0.497942	1.652061	1.390224	0.092844	0.000000	0.000000	0.226757
grid3	9116	1	1	0.265213	1.013115	1.394829	0.976517	3.456657	0.715427	4.119212	1.159961	0.125915	0.000000	0.000000	0.226757
sym1	9116	2	1	0.078392	1.042038	1.135338	0.283502	1.236925	0.277656	1.658438	0.463151	0.071445	0.000000	0.000000	0.226757
sym2	9116	2	1	0.102066	0.699165	0.710106	0.387260	0.891599	0.308651	1.133209	0.279878	0.066622	0.000000	0.000000	0.226757
sym3	9116	2	1	0.135856	1.669808	0.874832	0.323296	2.426670	0.410876	2.879293	0.986200	0.092367	0.000000	0.000000	0.226757
sym4	9116	2	1	0.103935	0.797127	0.683761	0.408695	1.064453	0.371874	1.505931	0.355226	0.067234	0.000000	0.000000	0.226757
resting	9116	2	1	0.088409	0.373085	1.042583	0.173574	0.655044	0.196587	0.984966	0.275370	0.064778	0.000000	0.000000	0.135318
grid1	9116	2	1	0.405739	0.861198	1.119900	1.430760	1.484901	0.606321	1.894693	1.658365	0.092661	1.000000	0.000000	0.453515
sym1	9119	1	1	0.084511	0.120277	0.141201	0.071604	0.106142	0.088392	0.166259	0.124035	0.033558	0.000000	0.000000	0.226757
sym2	9119	1	1	0.248207	0.292527	0.255112	0.118067	0.314333	0.304405	0.445181	0.224663	0.047314	0.000000	0.000000	0.226757
sym3	9119	1	1	0.370239	1.057678	0.984654	0.229357	1.261147	0.396942	1.331241	0.809990	0.081265	0.000000	0.000000	0.226757
sym4	9119	1	1	0.835709	2.826362	1.385044	0.447651	3.900768	0.805412	4.322483	2.070282	0.102381	2.000000	0.000000	0.680272
resting	9119	1	1	0.292572	0.591209	0.720348	0.212478	0.731109	0.305469	0.768664	0.533700	0.074376	0.000000	0.000000	0.135318
sym1	9119	2	1	0.121804	0.182427	0.621200	0.095101	0.251125	0.152408	0.425058	0.247382	0.064787	0.000000	0.000000	0.226757
sym2	9119	2	1	0.100471	0.116211	0.293374	0.081865	0.431797	0.133425	0.469706	0.229910	0.065791	0.000000	0.000000	0.226757
sym3	9119	2	1	0.340401	1.257309	1.241169	0.390082	3.802144	0.485739	4.516029	2.919208	0.098560	2.000000	0.000000	0.680272
sym4	9119	2	1	0.661949	0.517746	0.804951	0.288586	1.619778	0.811994	1.942978	1.397751	0.084492	0.000000	0.000000	0.226757
resting	9119	2	1	0.255287	0.381478	0.610378	0.122148	0.849180	0.335482	0.868412	0.251313	0.094997	0.000000	0.000000	0.135318
sym1	9128	1	1	3.202270	6.535172	5.302410	3.079212	11.019519	5.244803	13.867012	10.831270	1.470285	111.000000	4.000000	25.396825
sym2	9128	1	1	2.685631	3.698197	5.205795	11.988245	6.850930	4.702286	8.883920	8.341703	0.759910	49.000000	0.000000	11.337868
sym3	9128	1	1	2.068382	5.383927	4.865867	5.327556	11.526360	2.599991	11.983439	10.095677	0.933270	67.000000	12.000000	16.326531
sym4	9128	1	1	2.730309	9.785866	7.200302	4.646486	14.150966	4.248693	14.114195	9.502070	1.561201	149.000000	15.000000	34.920635
resting	9128	1	1	2.161049	5.479240	7.862607	5.249527	15.478231	3.235012	11.653017	11.760895	0.671354	55.000000	0.000000	13.114754
sym1	9142	1	1	0.154800	0.345215	1.004680	0.271215	1.340287	0.448785	1.277410	0.990893	0.064065	0.000000	0.000000	0.226757
sym2	9142	1	1	0.388130	1.644249	2.948402	1.333031	8.108035	0.790543	8.120575	4.336893	0.171600	6.000000	0.000000	1.587302
sym3	9142	1	1	0.259041	0.271896	1.837818	0.297636	1.091487	0.825313	1.244750	1.088991	0.076011	0.000000	0.000000	0.226757
sym4	9142	1	1	0.165359	0.237564	1.220283	0.167503	0.994173	0.505624	1.255964	1.027892	0.062059	0.000000	0.000000	0.226757
resting	9142	1	1	0.539154	1.190208	3.123718	0.568892	4.086598	1.869894	3.522777	1.849464	0.116046	3.000000	0.000000	0.541272
grid1	9142	1	1	0.203201	0.207000	0.384484	0.177548	0.290679	0.158823	0.347382	0.225224	0.071887	0.000000	0.000000	0.226757
grid2	9142	1	1	0.170647	0.300270	0.746521	0.140340	1.839420	0.556948	1.996379	0.486241	0.077706	0.000000	0.000000	0.226757
sym1	9142	2	1	0.158653	0.351540	0.909150	0.145507	0.564102	0.395188	0.954831	0.262862	0.059108	0.000000	0.000000	0.226757
sym2	9142	2	1	0.114532	0.464882	0.879734	0.152695	0.882568	0.186170	1.160033	0.416348	0.063810	0.000000	0.000000	0.226757
sym3	9142	2	1	0.328376	0.673744	0.889866	0.190970	1.076894	0.685257	1.299184	0.542771	0.099444	0.000000	0.000000	0.226757
sym4	9142	2	1	0.332237	0.744698	1.378151	0.466299	1.413471	0.601669	1.649019	0.596643	0.100816	0.000000	0.000000	0.226757
resting	9142	2	1	0.386910	0.483810	0.734157	0.180599	1.125801	0.467093	1.418437	0.206805	0.065273	0.000000	0.000000	0.135318
grid1	9142	2	1	0.092934	0.231674	0.660862	1.137686	0.527465	0.418110	1.174973	1.190531	0.066540	0.000000	0.000000	0.226757
grid2	9142	2	1	0.587898	1.425216	6.498398	0.657579	6.428739	0.833374	8.975036	5.124009	0.169767	3.000000	2.000000	1.133787
sym1	9162	1	1	2.761803	14.549351	13.413406	2.680815	19.341222	3.341067	15.840356	16.517308	0.842865	60.000000	10.000000	14.058957
sym1_redo	9162	1	1	0.235009	0.408478	0.224468	0.089563	0.401484	0.165556	0.565932	0.283473	0.062131	0.000000	0.000000	0.226757
sym2	9162	1	1	0.217659	0.142372	0.142899	0.099133	0.085324	0.112947	0.249680	0.202722	0.046056	0.000000	0.000000	0.226757
sym3	9162	1	1	0.364616	1.926773	0.524750	0.218241	1.351528	0.222774	2.168937	1.709157	0.116954	2.000000	0.000000	0.680272
sym4	9162	1	1	3.961075	9.656269	7.858116	2.149061	15.187003	4.791519	11.464738	5.417340	0.557466	33.000000	75.000000	22.222222
sym4_redo	9162	1	1	0.909424	1.187645	2.470405	0.203487	1.091267	0.748902	2.657653	1.178905	0.064594	0.000000	0.000000	0.226757
resting	9162	1	1	1.772049	1.889198	4.269364	0.902414	4.153171	1.635185	5.351520	2.515864	0.124807	4.000000	0.000000	0.676590
grid1	9162	1	1	0.415909	2.001114	0.638549	0.119112	1.772218	0.329740	2.588253	0.992739	0.075191	0.000000	0.000000	0.226757
sym1	9370	2	1	0.250672	0.239616	0.367069	0.545504	0.332624	0.185360	0.672263	0.418214	0.059557	0.000000	0.000000	0.226757
sym2	9370	2	1	0.293365	0.466324	0.800850	0.510013	0.983169	0.600264	1.413007	0.598397	0.077567	0.000000	0.000000	0.226757
sym3	9370	2	1	0.154449	0.399384	0.543671	0.275032	0.852772	0.207483	0.970129	0.364896	0.064363	0.000000	0.000000	0.226757
sym4	9370	2	1	0.212044	0.191422	0.360370	0.203987	0.308733	0.327993	0.517366	0.266141	0.058572	0.000000	0.000000	0.226757
resting	9370	2	1	0.206818	0.173416	0.890717	0.161531	0.286820	0.269140	0.863557	0.336091	0.097222	0.000000	0.000000	0.135318
grid1	9370	2	1	0.187683	0.175407	1.014507	0.400812	0.551162	0.243384	1.022085	0.409026	0.057328	0.000000	0.000000	0.226757
sym1	9472	1	1	0.164406	0.124916	0.618645	0.356575	0.590343	0.391575	0.609870	0.697565	0.057422	0.000000	0.000000	0.226757
sym2	9472	1	1	0.359268	0.521004	1.774422	0.991453	1.592289	1.054215	1.679992	1.240179	0.167516	0.000000	0.000000	0.226757
sym3	9472	1	1	0.559639	0.755172	1.675102	1.388006	2.374311	1.827786	2.416773	1.312757	0.109532	0.000000	0.000000	0.226757
sym4	9472	1	1	0.290756	0.950257	1.377853	1.052089	3.398615	1.477045	3.818482	1.690567	0.118150	1.000000	0.000000	0.453515
resting	9472	1	1	0.107750	0.096451	0.329453	0.313935	0.656616	0.226463	0.428110	0.219682	0.046653	0.000000	0.000000	0.135318
grid1	9472	1	1	0.317482	0.341385	2.268567	0.418131	0.957186	0.719550	1.853082	0.714283	0.097563	0.000000	0.000000	0.226757
sym1	9472	2	1	0.403534	0.278892	0.544837	0.310460	0.513964	0.633371	0.735416	0.327478	0.075055	0.000000	0.000000	0.226757
sym2	9472	2	1	0.415360	0.540078	1.267910	0.279475	1.186108	0.687880	1.193962	0.498960	0.078338	0.000000	0.000000	0.226757
sym3	9472	2	1	0.250512	0.277329	0.881405	0.211451	0.689570	0.389122	0.929935	0.433200	0.077290	0.000000	0.000000	0.226757
sym4	9472	2	1	0.266716	0.325394	0.461971	0.082208	0.661139	0.457247	0.824693	0.251576	0.060065	0.000000	0.000000	0.226757
grid1	9472	2	1	0.288673	0.247376	0.650120	0.212726	0.468084	0.414568	0.632032	0.328897	0.062973	0.000000	0.000000	0.226757
sym1	9477	1	1	0.146721	0.206849	0.422886	0.110271	0.590702	0.212303	0.728756	0.215169	0.068941	0.000000	0.000000	0.226757
sym2	9477	1	1	0.137490	0.167824	0.372280	0.090771	0.304281	0.224703	0.362090	0.173092	0.065358	0.000000	0.000000	0.226757
sym3	9477	1	1	0.139122	0.160798	0.406315	0.075344	0.496149	0.177122	0.595348	0.184550	0.055581	0.000000	0.000000	0.226757
sym4	9477	1	1	0.123321	0.258873	0.790672	0.183574	0.939695	0.260137	0.851695	0.622483	0.069286	0.000000	0.000000	0.226757
resting	9477	1	1	0.248451	0.492829	0.650582	0.133059	0.930564	0.245277	1.167148	0.468085	0.075769	0.000000	0.000000	0.135318
grid1	9477	1	1	0.062583	0.099213	0.260536	0.119687	0.446966	0.203831	0.536282	0.116119	0.048709	0.000000	0.000000	0.226757
grid2	9477	1	1	0.106270	0.269905	0.346722	0.244484	0.533642	0.416233	0.673647	0.181267	0.056130	0.000000	0.000000	0.226757
grid3	9477	1	1	0.087197	0.133164	0.352055	0.100778	0.685669	0.184841	0.712501	0.222366	0.050182	0.000000	0.000000	0.226757
grid4	9477	1	1	0.466789	0.752991	2.465531	1.319453	3.284021	2.790813	2.452132	2.840175	0.118682	5.000000	0.000000	1.360544
